Volatility 3 Framework 2.20.1

PID	PPID	ImageFileName	Offset(V)	Threads	Handles	SessionId	Wow64	CreateTime	ExitTime	File output

4	0	System	0xca82b0e88040	165	-	N/A	False	2024-02-01 19:48:22.000000 UTC	N/A	Disabled
108	4	Registry	0xca82b0eeb080	4	-	N/A	False	2024-02-01 19:48:15.000000 UTC	N/A	Disabled
320	4	smss.exe	0xca82b1a95040	2	-	N/A	False	2024-02-01 19:48:22.000000 UTC	N/A	Disabled
448	440	csrss.exe	0xca82b1f68080	11	-	0	False	2024-02-01 19:48:23.000000 UTC	N/A	Disabled
524	440	wininit.exe	0xca82b2843080	2	-	0	False	2024-02-01 19:48:23.000000 UTC	N/A	Disabled
532	516	csrss.exe	0xca82b287f140	13	-	1	False	2024-02-01 19:48:23.000000 UTC	N/A	Disabled
624	516	winlogon.exe	0xca82b28cb080	4	-	1	False	2024-02-01 19:48:23.000000 UTC	N/A	Disabled
660	524	services.exe	0xca82b28e9080	8	-	0	False	2024-02-01 19:48:23.000000 UTC	N/A	Disabled
676	524	lsass.exe	0xca82b2923080	10	-	0	False	2024-02-01 19:48:23.000000 UTC	N/A	Disabled
808	660	svchost.exe	0xca82b299a240	15	-	0	False	2024-02-01 19:48:24.000000 UTC	N/A	Disabled
836	624	fontdrvhost.ex	0xca82b299c140	6	-	1	False	2024-02-01 19:48:24.000000 UTC	N/A	Disabled
844	524	fontdrvhost.ex	0xca82b299d080	6	-	0	False	2024-02-01 19:48:24.000000 UTC	N/A	Disabled
928	660	svchost.exe	0xca82b29be2c0	7	-	0	False	2024-02-01 19:48:24.000000 UTC	N/A	Disabled
984	660	svchost.exe	0xca82b3038240	5	-	0	False	2024-02-01 19:48:24.000000 UTC	N/A	Disabled
364	624	LogonUI.exe	0xca82b30a2080	0	-	1	False	2024-02-01 19:48:24.000000 UTC	2024-02-01 19:48:37.000000 UTC	Disabled
372	624	dwm.exe	0xca82b30a3080	14	-	1	False	2024-02-01 19:48:24.000000 UTC	N/A	Disabled
740	660	svchost.exe	0xca82b30c7240	5	-	0	False	2024-02-01 19:48:24.000000 UTC	N/A	Disabled
1068	660	svchost.exe	0xca82b3115300	5	-	0	False	2024-02-01 19:48:24.000000 UTC	N/A	Disabled
