Volatility 3 Framework 2.20.1

PID	PPID	ImageFileName	Offset(V)	Threads	Handles	SessionId	Wow64	CreateTime	ExitTime	File output

4	0	System	0xc90c0345b040	138	-	N/A	False	2024-07-04 10:44:48.000000 UTC	N/A	Disabled
92	4	Registry	0xc90c0349e080	4	-	N/A	False	2024-07-04 10:44:43.000000 UTC	N/A	Disabled
300	4	smss.exe	0xc90c06148040	2	-	N/A	False	2024-07-04 10:44:48.000000 UTC	N/A	Disabled
416	404	csrss.exe	0xc90c070af140	11	-	0	False	2024-07-04 10:44:50.000000 UTC	N/A	Disabled
492	404	wininit.exe	0xc90c07164080	1	-	0	False	2024-07-04 10:44:50.000000 UTC	N/A	Disabled
512	484	csrss.exe	0xc90c07176080	13	-	1	False	2024-07-04 10:44:50.000000 UTC	N/A	Disabled
588	484	winlogon.exe	0xc90c07a22080	5	-	1	False	2024-07-04 10:44:50.000000 UTC	N/A	Disabled
628	492	services.exe	0xc90c070ad140	8	-	0	False	2024-07-04 10:44:50.000000 UTC	N/A	Disabled
636	492	lsass.exe	0xc90c070ab080	8	-	0	False	2024-07-04 10:44:50.000000 UTC	N/A	Disabled
748	492	fontdrvhost.ex	0xc90c07be9140	5	-	0	False	2024-07-04 10:44:50.000000 UTC	N/A	Disabled
752	588	fontdrvhost.ex	0xc90c07beb140	5	-	1	False	2024-07-04 10:44:50.000000 UTC	N/A	Disabled
764	628	svchost.exe	0xc90c07bef240	23	-	0	False	2024-07-04 10:44:50.000000 UTC	N/A	Disabled
872	628	svchost.exe	0xc90c07c6f2c0	16	-	0	False	2024-07-04 10:44:50.000000 UTC	N/A	Disabled
956	588	dwm.exe	0xc90c07ca0080	16	-	1	False	2024-07-04 10:44:50.000000 UTC	N/A	Disabled
440	628	svchost.exe	0xc90c07d3e240	73	-	0	False	2024-07-04 10:44:51.000000 UTC	N/A	Disabled
420	628	svchost.exe	0xc90c07d462c0	16	-	0	False	2024-07-04 10:44:51.000000 UTC	N/A	Disabled
656	628	svchost.exe	0xc90c07d5f2c0	23	-	0	False	2024-07-04 10:44:51.000000 UTC	N/A	Disabled
1040	628	svchost.exe	0xc90c07da8280	22	-	0	False	2024-07-04 10:44:51.000000 UTC	N/A	Disabled
1112	628	svchost.exe	0xc90c07dc72c0	41	-	0	False	2024-07-04 10:44:51.000000 UTC	N/A	Disabled
1260	628	svchost.exe	0xc90c07e7a2c0	24	-	0	False	2024-07-04 10:44:51.000000 UTC	N/A	Disabled
1452	4	MemCompression	0xc90c03551040	66	-	N/A	False	2024-07-04 10:44:51.000000 UTC	N/A	Disabled
1520	628	svchost.exe	0xc90c07f5a2c0	12	-	0	False	2024-07-04 10:44:51.000000 UTC	N/A	Disabled
1680	628	svchost.exe	0xc90c0350d080	6	-	0	False	2024-07-04 10:44:51.000000 UTC	N/A	Disabled
1688	628	svchost.exe	0xc90c03509080	5	-	0	False	2024-07-04 10:44:51.000000 UTC	N/A	Disabled
1696	628	svchost.exe	0xc90c03507080	15	-	0	False	2024-07-04 10:44:51.000000 UTC	N/A	Disabled
1864	628	spoolsv.exe	0xc90c0809f200	12	-	0	False	2024-07-04 10:44:51.000000 UTC	N/A	Disabled
1944	628	svchost.exe	0xc90c080cc080	16	-	0	False	2024-07-04 10:44:52.000000 UTC	N/A	Disabled
1952	628	svchost.exe	0xc90c080cd080	10	-	0	False	2024-07-04 10:44:52.000000 UTC	N/A	Disabled
2080	628	svchost.exe	0xc90c0821f080	13	-	0	False	2024-07-04 10:44:52.000000 UTC	N/A	Disabled
2216	628	wlms.exe	0xc90c08167240	2	-	0	False	2024-07-04 10:44:52.000000 UTC	N/A	Disabled
